,AvgPriceperBottle,County,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales
0,13.9859075342,Adair,4.67309931507,12.7399629344,0.664784194694,4650,55544.2
1,15.2532478632,Adams,5.09111111111,12.6777700789,0.7470635217,955,12441.71
2,14.9748563218,Allamakee,5.00196360153,12.5825491482,0.734456220714,7450,99000.0
3,14.3012596154,Appanoose,4.77875961538,12.2453235566,0.903600588124,8171,98429.87
4,13.1172246696,Audubon,4.38585903084,11.4422750029,0.843010919246,1694,19655.54
5,14.0325153374,Benton,4.68680981595,11.8276696267,0.745647300113,6449,80035.12
6,14.0389121756,Black Hawk,4.68962142382,14.6115292606,0.541958604929,172713,1928016.71
7,13.8993586698,Boone,4.64517814727,12.7221451002,0.960109429036,17233,223064.24
8,14.8135044643,Bremer,4.95112946429,12.782782774,0.828038602742,15186,204649.54
9,14.4397440699,Buchanan,4.82266541823,12.8449094453,0.86747836067,12876,166329.76
10,15.6312641578,Buena Vista,5.2222104494,14.2655380322,0.682905333746,15822,213652.11
11,13.0887562189,Butler,4.37803482587,10.9228218984,0.764492261527,2858,34099.63
12,12.6428066038,Calhoun,4.22511792453,11.9919936829,0.793678278374,2987,35992.53
13,14.7297121926,Carroll,4.92244374673,13.4156888245,0.907219314209,20817,306795.07
14,15.0532605042,Cass,5.0267394958,12.9353511531,0.752101153506,9585,130100.14
15,12.3461823362,Cedar,4.12924026591,12.2784713704,0.945536754506,6350,72374.59
16,15.1405959119,Cerro Gordo,5.05872955975,13.1785362586,0.532417610867,54479,694953.9
17,14.336613455,Cherokee,4.79685290764,12.5544317075,0.555860488539,7697,87133.28
18,14.1489439655,Chickasaw,4.73221982759,11.9021479266,0.855982141004,3306,44457.26
