,AvgPriceperBottle,City,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales
0,13.3561538462,ACKLEY,4.46065934066,11.6379235711,0.740694116952,555,6721.25
1,11.8669767442,ADAIR,3.98813953488,14.9513223457,0.701488094435,588,5851.2
2,12.7047169811,ADEL,4.24748427673,13.5480124929,0.918312511761,3637,47716.1
3,11.65,AFTON,3.91333333333,12.2865536723,0.979131890531,264,3262.08
4,12.4928985507,AKRON,4.17333333333,12.7305355771,0.760019944049,504,5469.42
5,13.6714662757,ALBIA,4.5695601173,13.472463638,0.830986956054,2578,33003.09
6,18.2931147541,ALDEN,6.10942622951,14.2753650144,0.73504913489,756,12280.24
7,15.2406341463,ALGONA,5.09504390244,12.5135510264,0.78030070147,9780,133792.51
8,13.103373494,ALLISON,4.37734939759,10.4193298969,0.875176578671,549,6872.59
9,11.5314285714,ALTA,3.84571428571,11.9054883721,0.848167209856,195,1919.76
10,14.4027960057,ALTOONA,4.81334759867,14.5227565187,0.828144038605,22665,294558.39
11,15.8401712238,AMES,5.29135253517,14.6718482075,0.847597890687,68398,979880.51
12,14.4507718696,ANAMOSA,4.82957118353,12.1540675255,0.901875977201,4767,65715.22
13,13.6781081081,ANITA,4.56189189189,12.3855782476,0.592376548094,862,10340.1
14,16.4454157164,ANKENY,5.49425876011,14.6965111074,0.785971728352,47000,716381.14
15,13.2700609756,ANTHON,4.43524390244,12.3193029936,0.598463348682,872,10378.52
16,9.49868421053,ARLINGTON,3.18118421053,10.3264716872,0.926486524318,329,3040.01
17,10.7058823529,ARMSTRONG,3.57058823529,10.8228947368,0.729117498824,270,2467.62
18,17.5332231405,ARNOLD'S PARK,5.85388429752,17.7805276836,0.775243532146,602,10331.02
19,14.6187726358,ARNOLDS PARK,4.8809054326,14.1293404858,0.747640583989,2994,40088.33
20,15.2534040501,ATLANTIC,5.09441658631,12.9880740545,0.761388437375,8687,119339.23
21,13.2554634146,AUDUBON,4.432,11.5640300921,0.872012066081,1364,16447.52
22,11.6954545455,AURELIA,3.94272727273,13.0860952381,0.930656017086,186,2061.06
23,14.9533260394,AVOCA,4.99008752735,14.2357169657,0.754304267098,3143,42874.99
24,12.38,BALDWIN,4.15307692308,11.4237455466,0.489333424926,290,2661.39
25,16.4655256065,BANCROFT,5.49547169811,14.2104104312,0.768337356995,2699,39691.95
26,11.6753448276,BAXTER,3.91448275862,12.8885204977,0.876970874177,294,3304.23
27,13.7612101911,BEDFORD,4.59458598726,12.9455552289,0.842278444518,593,7925.01
28,14.9135507246,BELLE PLAINE,4.9779468599,11.9601553809,0.626419835221,2695,33868.17
29,14.197605042,BELLEVUE,4.74865546218,13.0082983001,0.733720161122,2252,28467.36
30,14.7720994475,BELMOND,4.93806629834,10.9452625853,0.638441156048,1796,22133.51
31,17.1702919708,BETTENDORF,5.7330143282,16.4484684478,0.742952259491,44125,672194.79
32,11.0624324324,BEVINGTON,3.69418918919,12.6150576386,0.692234387935,530,5460.68
33,13.8771921182,BLOOMFIELD,4.63674876847,12.2568098444,0.751931445315,1053,13197.52
34,11.6562117647,BLUE GRASS,3.8928,12.3720643804,0.529500038042,1032,10346.51
35,12.6634435262,BONDURANT,4.22845730028,14.2214792225,0.624955959049,1041,11611.98
36,14.0865277778,BOONE,4.70884027778,12.7694696746,0.972103320474,12788,169395.06
